model,precision,category,refusal_rate,total_prompts,refusal_rate_se
google/gemma-2b-it,fp16,adversarial,0.31333333333333335,150,0.037873082398589775
google/gemma-2b-it,fp16,harmful,0.18,200,0.027166155414412252
google/gemma-2b-it,fp16,jailbreak,0.24,200,0.030199337741083
google/gemma-2b-it,int4,adversarial,0.31333333333333335,150,0.037873082398589775
google/gemma-2b-it,int4,harmful,0.225,200,0.029527529527544293
google/gemma-2b-it,int4,jailbreak,0.265,200,0.031206970375222264
google/gemma-2b-it,int8,adversarial,0.38666666666666666,150,0.03976225643794674
google/gemma-2b-it,int8,harmful,0.18,200,0.027166155414412252
google/gemma-2b-it,int8,jailbreak,0.24,200,0.030199337741083
meta-llama/Meta-Llama-3-8B-Instruct,fp16,adversarial,0.31333333333333335,150,0.037873082398589775
meta-llama/Meta-Llama-3-8B-Instruct,fp16,harmful,0.125,200,0.023385358667337135
meta-llama/Meta-Llama-3-8B-Instruct,fp16,jailbreak,0.045,200,0.014658615214269049
meta-llama/Meta-Llama-3-8B-Instruct,int4,adversarial,0.32,150,0.03808761828556186
meta-llama/Meta-Llama-3-8B-Instruct,int4,harmful,0.13,200,0.02378024390118823
meta-llama/Meta-Llama-3-8B-Instruct,int4,jailbreak,0.075,200,0.018624580532189176
meta-llama/Meta-Llama-3-8B-Instruct,int8,adversarial,0.31333333333333335,150,0.037873082398589775
meta-llama/Meta-Llama-3-8B-Instruct,int8,harmful,0.125,200,0.023385358667337135
meta-llama/Meta-Llama-3-8B-Instruct,int8,jailbreak,0.06,200,0.016792855623746664
mistralai/Mistral-7B-Instruct-v0.2,fp16,adversarial,0.31333333333333335,150,0.037873082398589775
mistralai/Mistral-7B-Instruct-v0.2,fp16,harmful,0.18,200,0.027166155414412252
mistralai/Mistral-7B-Instruct-v0.2,fp16,jailbreak,0.0,200,0.0
mistralai/Mistral-7B-Instruct-v0.2,int4,adversarial,0.31333333333333335,150,0.037873082398589775
mistralai/Mistral-7B-Instruct-v0.2,int4,harmful,0.18,200,0.027166155414412252
mistralai/Mistral-7B-Instruct-v0.2,int4,jailbreak,0.145,200,0.02489728900904675
mistralai/Mistral-7B-Instruct-v0.2,int8,adversarial,0.31333333333333335,150,0.037873082398589775
mistralai/Mistral-7B-Instruct-v0.2,int8,harmful,0.225,200,0.029527529527544293
mistralai/Mistral-7B-Instruct-v0.2,int8,jailbreak,0.0,200,0.0
